date,batch_size,x_dim,lookahead,time_mode,dataset,get_val_data_from_shuffled_train,error_metric,model_name,rmse,wrmse (alpha=2),wprmse (beta=3),mae,r2
2024-12-05 10:25:30.087660,32,192,96,cyclical,slrp-ev_old,False,mse,LinearModel,6472.457501590252,11588.735594451427,9836.19022488594,4429.055991619825,0.5113503932952881
2024-12-06 16:43:14.534634,32,192,96,cyclical,slrp-ev_new,False,mse,LinearModel,7193.028787473838,13332.03661983212,11393.032061656317,4452.016488363346,0.532130241394043
2024-12-06 16:47:56.827324,32,192,96,cyclical,slrp-ev_new,False,mse,LinearModel,7193.028787473838,13332.03661983212,11393.032061656317,4452.016488363346,0.532130241394043
2024-12-06 16:50:39.641019,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7388.665041998029,13888.439641197525,11779.281491041183,4530.484429237744,0.4968053698539734
2024-12-06 16:51:35.436690,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7388.665041998029,13888.439641197525,11779.281491041183,4530.484429237744,0.4968053698539734
2024-12-06 16:53:22.610298,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel_lagsOptiShort,7388.665041998029,13888.438120434685,11779.280730659764,4530.484429237744,0.4968054294586181
2024-12-06 16:55:35.122399,32,192,96,cyclical,slrp-ev_new,False,mse,LinearModel_lagsOptiShort,7193.029547855258,13332.041182120642,11393.035863563418,4452.018389316897,0.5321301221847534
2024-12-11 13:28:45.057562,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,8051.4961544090975,14625.50392808307,12437.057144441827,5282.461489831134,0.4655020414295401
2024-12-11 13:37:39.221545,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,8051.4961544090975,14625.50392808307,12437.057144441827,5282.461489831134,0.4655020414295401
2024-12-11 14:36:36.846662,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,8051.4961544090975,14625.50392808307,12437.057144441827,5282.461489831134,0.4655020414295401
2024-12-11 16:49:54.320555,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,8051.4961544090975,14625.50392808307,12437.057144441827,5282.461489831134,0.4655020414295401
2024-12-11 16:54:59.514852,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7516.986455000797,13558.551102902193,11563.177119259068,4957.522967056883,0.5883579402276821
2024-12-11 17:20:03.217620,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7516.986455000797,13558.551102902193,11563.177119259068,4957.522967056883,0.5883579402276821
2024-12-11 17:24:08.069301,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7516.986455000797,13558.551102902193,11563.177119259068,4957.522967056883,0.5883579402276821
2024-12-11 17:54:03.283574,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7525.48327172137,13622.009278100504,11633.507793597346,4973.268171435935,0.5897065021144896
2024-12-12 08:53:23.082305,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7525.48327172137,13622.009278100504,11633.507793597346,4973.268171435935,0.5897065021144896
2024-12-12 09:02:34.822809,32,96,96,cyclical,slrp-ev_new,False,mse,XGBoost_dropout0.4,6912.225251570344,12900.778693407774,11080.302391052246,4236.78406406194,0.6538522243499756
2024-12-12 14:07:49.310593,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7525.48327172137,13622.009278100504,11633.507793597346,4973.268171435935,0.5897065021144896
2024-12-12 14:25:45.218154,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,430280035.3763152,803039871.3893853,140495907018.3808,337197648.1334048,0.3926058129393097
2024-12-12 17:05:02.938985,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,8432.178911118397,15737.13700726216,14820.839189002176,6608.047429019877,0.3926058107992292
2024-12-12 17:19:55.136872,32,96,96,cyclical,slrp-ev_new,False,mse,XGBoost_dropout0.4,8437.730591396492,16275.79397936662,15129.969133834044,6473.357427890102,0.3918057084083557
2024-12-12 17:22:18.435308,32,96,96,cyclical,slrp-ev_new,False,mse,XGBoost_dropout0.4,8559.447126512727,16528.877810587488,15309.66247111559,6491.093324522178,0.3741325139999389
2024-12-12 17:50:32.703412,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,8432.1789100079,15737.137005441717,14820.839188041318,6608.047427819088,0.3926058109592137
2024-12-12 17:52:04.889864,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7525.4832720207,13622.009278379994,11633.507793967188,4973.268171545258,0.5897065020818503
2024-12-12 17:54:12.870726,32,96,96,cyclical,slrp-ev_new,False,mse,XGBoost_dropout0.4,6920.902724340558,12927.227800736826,11100.964235390227,4245.699156026046,0.6529825925827026
2024-12-12 17:56:56.779527,32,96,96,cyclical,slrp-ev_new,False,mse,XGBoost_dropout0.4,8161.835317562024,15826.705108632645,14662.413639922936,6312.106381580234,0.4309287071228027
2024-12-12 18:17:00.441274,32,96,96,cyclical,slrp-ev_new,False,mse,XGBoost_dropout0.4,7075.419072409472,13343.10777331392,11205.880903402964,3986.350922472775,0.5340520739555359
2024-12-13 09:50:50.139555,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7525.4832720207,13622.009278379994,11633.507793967188,4973.268171545258,0.5897065020818503
2024-12-13 10:00:30.677567,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7525.4832720207,13622.009278379994,11633.507793967188,4973.268171545258,0.5897065020818503
2024-12-13 10:01:50.684842,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,8432.1789100079,15737.137005441717,14820.839188041318,6608.047427819088,0.3926058109592137
2024-12-13 10:44:57.322657,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,8432.1789100079,15737.137005441717,14820.839188041318,6608.047427819088,0.3926058109592137
2024-12-13 10:59:19.418855,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,8432.1789100079,15737.137005441717,14820.839188041318,6608.047427819088,0.3926058109592137
2024-12-13 11:19:46.515951,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,8432.1789100079,15737.137005441717,14820.839188041318,6608.047427819088,0.3926058109592137
2024-12-13 11:29:26.993376,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel,7096.117415055633,13309.345317482948,11213.629190077383,4354.024233755967,0.5313218832015991
2024-12-13 11:48:05.673240,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel_SessionBased_PeakPrediction,8432.1789100079,15737.137005441717,14820.839188041318,6608.047427819088,0.3926058109592137
2024-12-13 12:04:45.776934,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel_SessionBased_PeakPrediction,8432.1789100079,15737.137005441717,14820.839188041318,6608.047427819088,0.3926058109592137
2024-12-13 12:10:53.108768,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel_SessionBased_PeakPrediction,8432.178910007913,15737.137005441517,14820.839188041358,6608.047427819037,0.3926058109592119
2024-12-13 12:42:41.897823,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel_SessionBased_PeakPrediction,8432.178910007913,15737.137005441517,14820.839188041358,6608.047427819037,0.3926058109592119
2024-12-13 13:52:05.772628,32,96,96,cyclical,slrp-ev_new,False,mse,LinearModel_SessionBased_PeakPrediction,8432.178910007913,15737.137005441517,14820.839188041358,6608.047427819037,0.3926058109592119
