date,batch_size,x_dim,lookahead,time_mode,dataset,error_metric,model_name,rmse,wrmse (alpha=2),wprmse (beta=3),mae,r2
2024-10-28 20:47:35.009374,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiShort_dropout0.4_withBatchNorm,6091.863589584827,11122.154529988766,9357.692640721798,4016.293053030968,0.5671281218528748
2024-10-28 20:48:04.987293,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiShort_dropout0.4_withBatchNorm,6510.414701402187,12125.632838606834,10136.03760421276,4341.87718719244,0.5056023597717285
2024-10-28 20:48:33.403705,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiShort_dropout0.4_withBatchNorm,7320.949255228043,14334.43208694458,11780.352813005447,4625.423436760902,0.3748362064361572
2024-10-28 20:49:03.449171,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiShort_dropout0.4_withBatchNorm,6064.478946328163,10981.93553686142,9254.749803841114,3890.452304631472,0.5710111260414124
2024-10-28 20:49:34.120563,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiShort_dropout0.4_withBatchNorm,6198.470259606838,11168.557506501676,9473.221887648106,4175.905755013228,0.551845133304596
2024-10-28 20:50:02.522716,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiShort_dropout0.4_withBatchNorm,6204.140278398991,11274.280283749104,9537.340361773968,4165.887374132872,0.5510249137878418
2024-10-28 20:50:28.519961,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,6058.8193836808205,9979.774005413055,8710.557655990124,4569.920477420092,0.5718114376068115
2024-10-28 20:50:54.820680,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,7337.287330031395,9097.20916122198,9170.963321328163,5121.549383997917,0.3720428347587585
2024-10-28 20:51:31.336659,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,6250.84508895874,10893.0861890316,9353.013167381288,4547.578484266996,0.5442396998405457
2024-10-28 20:51:57.441728,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,6088.5761776566505,10941.786729097366,9304.707869589329,4335.742218494415,0.5675951242446899
